t,x,y,vx,vy,theta,thr,wind_vx,wind_vy,r
0,37.347705056671614,2445.1444456358377,43.1130267399589,-2.6769902008821678,-0.06864390962855035,0.5,0.0,0.0,-0.3936934368479621
1,41.66250839714304,2444.8530011449047,43.183040069469605,-3.1518996177725316,-0.06864390962855035,1.0,0.0,0.0,-0.1767879617921081
2,45.9743279132745,2444.469856458026,43.053350253159564,-4.510994119803999,-0.1745,0.0,0.0,0.0,-0.453948804982878
3,50.27600404093147,2443.9655906942126,42.98017229997987,-5.574321156462202,-0.1745,0.0,0.0,0.0,-0.9456361702763189
4,54.57237873321638,2443.366561668496,42.94732154571835,-6.406259357862527,-0.1745,0.0,0.0,0.0,-1.3277705310586416
5,58.86342971361754,2442.776906669101,42.87369806230486,-5.3868406300394165,0.0,1.0,0.0,0.0,-0.8662435602763863
6,63.151313059945004,2442.1942788578194,42.88396886424436,-6.265715595599719,-0.1745,0.5,0.0,0.0,-1.268248881277558
7,67.43122639120568,2441.6168645905123,42.71429776096918,-5.282569750539341,0.0,0.0,0.0,0.0,-0.8277076867616667
8,71.70041129354674,2441.126019585884,42.66940028585195,-4.534330342021904,0.0,1.0,0.0,0.0,-0.4842391547175212
9,75.96593174872929,2440.701423807523,42.64100881779901,-3.9575852251983656,0.0,1.0,0.0,0.0,-0.21783649460829196
10,80.22418963451696,2440.3279722097723,42.524148897954525,-3.511446729816446,0.0,0.0,0.0,0.0,-0.01468999284138961
11,84.47362436487933,2439.9133182188125,42.4645457092928,-4.781633089377261,-0.1745,0.5,0.0,0.0,-0.6095783512679703
12,88.71343842011746,2439.466263023705,42.33173539546975,-4.159470812775979,0.0,0.0,0.0,0.0,-0.32592298553531684
13,92.94746620321727,2438.9935005684533,42.348820266526594,-5.295778292257483,-0.1745,1.0,0.0,0.0,-0.8552283718365663
14,97.18016002329215,2438.500520037239,42.30505613497071,-4.563832332033397,0.0,1.0,0.0,0.0,-0.5164850032305022
15,101.40428492334334,2438.0724106865255,42.17744186605325,-3.9983546822326788,0.0,0.0,0.0,0.0,-0.25758872373567915
16,105.61770412252783,2437.615142310775,42.09094211763638,-5.1470128327824085,-0.1745,0.0,0.0,0.0,-0.8009255396287668
17,109.82466630897653,2437.0552326148672,42.04830161133768,-6.051181085374933,-0.1745,0.0,0.0,0.0,-1.226067102019707
18,114.02145766981538,2436.4944333879344,41.88752560543921,-5.164803453285489,0.0,0.0,0.0,0.0,-0.8212830928064372
19,118.20826056561084,2436.0118773360723,41.84853231047006,-4.486317583955702,0.0,1.0,0.0,0.0,-0.5036434226432052
