t,x,y,vx,vy,theta,thr,wind_vx,wind_vy,r
0,23.266877065831455,749.7668598214891,50.94692727343237,0.7601728939068813,-0.04801824100229275,0.5,3.9394868128223934,1.6030740450673198,0.0
1,28.35461207335061,749.7623639876138,50.80777287695067,-0.8500895714139138,-0.13526824100229273,0.25,3.9394868128223934,1.6030740450673198,-0.1672854440588215
2,33.426673278846145,749.5945751845231,50.63345123296001,-2.505686490398606,-0.1745,0.25,3.9394868128223934,1.6030740450673198,-0.48707199780665184
3,38.48824133747435,749.377775295615,50.597909939604,-1.8303112877638084,0.0,1.0,3.9394868128223934,1.6030740450673198,-0.22136098356219774
4,43.5515910229835,749.1713837614103,50.66908377057896,-2.297519396331158,-0.08725,1.0,3.9394868128223934,1.6030740450673198,-0.40450785431812053
5,48.619883960095514,748.9241029438582,50.6967749716613,-2.6480969547108444,-0.08725,0.5,3.9394868128223934,1.6030740450673198,-0.5420688293251054
6,53.68637716535662,748.6949593792702,50.63308913356071,-1.9347743370481414,0.0,0.75,3.9394868128223934,1.6030740450673198,-0.26226661683716856
7,58.747207258640856,748.5283045713884,50.583512732124085,-1.3983218205887562,0.0,0.75,3.9394868128223934,1.6030740450673198,-0.05116741481900097
8,63.803811774777614,748.3603930710345,50.548577590611146,-1.9599081864872223,-0.08725,0.0,3.9394868128223934,1.6030740450673198,-0.27352626828605386
9,68.83925791375678,748.2386506267109,50.16034518897218,-0.4749406999867958,0.08725,0.5,3.9394868128223934,1.6030740450673198,-0.3121805413338178
10,73.85780477837118,748.151709773139,50.21059210331579,-1.263876371449593,-0.08725,1.0,3.9394868128223934,1.6030740450673198,-0.0017539282485218993
11,78.88079391898432,747.9952775467867,50.24919070894722,-1.864768155597296,-0.08725,0.75,3.9394868128223934,1.6030740450673198,-0.24031822982847714
12,83.90933588133775,747.7857640222575,50.321648538121394,-2.3255023349888666,-0.08725,1.0,3.9394868128223934,1.6030740450673198,-0.4221044465266247
13,88.94542939640068,747.535675569051,50.40022176313714,-2.676266729140354,-0.08725,1.0,3.9394868128223934,1.6030740450673198,-0.5595987837324594
14,93.97854858844474,747.3033140870101,50.262162077743874,-1.9709629116776066,0.0,0.0,3.9394868128223934,1.6030740450673198,-0.2825319143149808
15,98.99857571694152,747.1326138762003,50.13838049219171,-1.4430413045186516,0.0,0.0,3.9394868128223934,1.6030740450673198,-0.0741551384393662
16,104.01449259212811,746.9603708713137,50.179957011539976,-2.001818793212384,-0.08725,0.75,3.9394868128223934,1.6030740450673198,-0.29615484553455695
17,109.02803709951843,746.6916679242164,50.09093313626644,-3.3722401487322093,-0.1745,0.5,3.9394868128223934,1.6030740450673198,-0.8432363905717932
18,114.03794422112261,746.3496072236122,50.107209295817135,-3.468973863351807,-0.08725,0.25,3.9394868128223934,1.6030740450673198,-0.8813778603086606
19,119.02552783377162,746.0932991607882,49.644462957162936,-1.6571873931277228,0.08725,0.5,3.9394868128223934,1.6030740450673198,-0.16642557117934428
20,123.9854352371369,745.948819268732,49.55368511014267,-1.232410447996549,0.0,0.25,3.9394868128223934,1.6030740450673198,-0.003633647967971401
21,128.94279181339067,745.7950961246181,49.593446414932664,-1.8420524342819338,-0.08725,0.75,3.9394868128223934,1.6030740450673198,-0.2416044317077154
22,133.9008350133426,745.5878546570211,49.56741758410574,-2.3027769176568853,-0.08725,0.0,3.9394868128223934,1.6030740450673198,-0.4276221402532594
