t,x,y,vx,vy,theta,thr,wind_vx,wind_vy,r
0,56.481734934051595,975.8853082899465,41.64360103411579,-3.0531840614808026,-0.09171754241831949,0.5,0.0,0.0,-0.8099525827581149
1,60.634728741802526,975.6263194077939,41.41627512090283,-2.126593581572124,0.0827824575816805,1.0,0.0,0.0,-0.37234902734061837
2,64.76211052280392,975.4488267614342,41.13136049912523,-1.423259345620275,0.0827824575816805,0.0,0.0,0.0,-0.03812196009593177
3,68.86255439468363,975.3332723830518,40.877516938468965,-0.887828222027511,0.0827824575816805,0.0,0.0,0.0,-0.21935365581016492
4,72.94373441425816,975.2652698195667,40.74608345302163,-0.47222304767451895,0.0827824575816805,1.0,0.0,0.0,-0.421936000064163
5,77.0149904292049,975.1608774715295,40.6790368459132,-1.6156239130700212,-0.09171754241831949,0.0,0.0,0.0,-0.1401771969656633
6,81.07008171481671,975.0265859833247,40.42278886632287,-1.0702058510263766,0.0827824575816805,0.0,0.0,0.0,-0.1243493945932235
7,85.10071237354632,974.9403688715608,40.189824308269216,-0.6541363842518975,0.0827824575816805,0.0,0.0,0.0,-0.3282678170571895
8,89.11911765566376,974.819693099944,40.17828133407954,-1.7593790480869058,-0.09171754241831949,0.5,0.0,0.0,-0.22145733495539138
9,93.12662437821068,974.6710450134226,39.971853116858895,-1.213582682340008,0.0827824575816805,0.5,0.0,0.0,-0.04672570005193173
10,97.11711949827277,974.5709318978521,39.83804928438292,-0.788679629070582,0.0827824575816805,1.0,0.0,0.0,-0.2578870328663802
11,101.09008555932326,974.508171866235,39.621271936626776,-0.46652100327175544,0.0827824575816805,0.0,0.0,0.0,-0.4183439514184578
12,105.04702413980452,974.4741457993853,39.51749967299849,-0.21400033372372118,0.0827824575816805,1.0,0.0,0.0,-0.5455816358689731
13,108.994061110856,974.4625426278393,39.42323974803098,-0.01806309719646959,0.0827824575816805,1.0,0.0,0.0,-0.6448023053281172
14,112.91681063106847,974.5027546022131,39.03175065621859,0.8223025846736944,0.1745,1.0,0.0,0.0,-1.075367299050363
15,116.81998092566559,974.5511512867375,39.031655235723655,0.14563110581310523,0.0,0.5,0.0,0.0,-0.7288188423062423
16,120.72296396589334,974.5385976308758,39.028005568831524,-0.3967042230488568,0.0,0.5,0.0,0.0,-0.4509893172399074
17,124.62289223765299,974.4771976345704,38.97055986636157,-0.8312957030585433,0.0,0.0,0.0,0.0,-0.22775598588669488
18,128.521901018618,974.3765864189438,39.00961575293856,-1.1809286094737026,0.0,1.0,0.0,0.0,-0.04906666583032529
19,132.39526519881022,974.308946077958,38.457667850905814,-0.17187821024295014,0.1745,0.0,0.0,0.0,-0.5649915635976722
20,136.2197221475723,974.3304328032457,38.03147112433575,0.6016127159968705,0.1745,0.5,0.0,0.0,-0.9708249463780458
21,140.02044677467802,974.3579205007209,37.983021417778744,-0.05185876649370613,0.0,0.0,0.0,0.0,-0.6272707861006187
22,143.8008308901469,974.3886035772716,37.624660891598566,0.6655202975077449,0.1745,1.0,0.0,0.0,-1.0084120017171325
23,147.5429209228695,974.4819891391452,37.21713976285376,1.202190939962994,0.1745,0.0,0.0,0.0,-1.3006427464911292
24,151.25109411033722,974.6233560486072,36.94632398650036,1.6251472492778278,0.1745,1.0,0.0,0.0,-1.5341697393662859
25,154.9436018409625,974.7425028882268,36.90383062600502,0.757789543114264,0.0,0.0,0.0,0.0,-1.0657892327293372
26,158.63674179081087,974.7830190029313,36.95896837096247,0.05253275097525234,0.0,1.0,0.0,0.0,-0.6836996346988
27,162.3302077588767,974.7596909759447,36.91035099035396,-0.5190932907055658,0.0,0.0,0.0,0.0,-0.3740837679388791
28,166.0211191910186,974.6845225242515,36.90787765248459,-0.9842757431597567,0.0,0.5,0.0,0.0,-0.12212595607450333
29,169.69252932802652,974.6257650209975,36.520325087673726,-0.19087432192067488,0.1745,1.0,0.0,0.0,-0.550880364968704
30,173.32797026341115,974.6374608778018,36.18849362001883,0.42479145800752305,0.1745,1.0,0.0,0.0,-0.89025308487077
31,176.9323135690212,974.7038584007668,35.89837249218226,0.9031590012914231,0.1745,1.0,0.0,0.0,-1.1586912270222518
32,180.50430744352795,974.8118624934319,35.54150499795281,1.256922852011024,0.1745,0.0,0.0,0.0,-1.36277720186646
33,184.06146136834025,974.896531417489,35.601573498293426,0.4364556291299492,0.0,1.0,0.0,0.0,-0.9010852792305797
34,187.62446661136707,974.9066247588183,35.65853136224291,-0.23458880254235492,0.0,1.0,0.0,0.0,-0.5244207556820248
35,191.18796641642157,974.8557603208234,35.611464738847175,-0.7826999573561448,0.0,0.0,0.0,0.0,-0.21653166274418226
36,194.7318950985943,974.8096252241075,35.26710890460735,-0.14000197696148464,0.1745,1.0,0.0,0.0,-0.5766908042790121
37,198.241125127735,974.820264189892,34.91749167820646,0.352781292649234,0.1745,0.5,0.0,0.0,-0.8582289949632694
38,201.71955949032497,974.8749715406832,34.65119557359287,0.7413657231739854,0.1745,1.0,0.0,0.0,-1.084120501984779
39,205.1852070955046,974.9119507310603,34.66175652999965,-0.0017819156318497065,0.0,0.5,0.0,0.0,-0.6553570605301897
40,208.65422976557747,974.8811763000973,34.71869687145735,-0.6137067036273653,0.0,1.0,0.0,0.0,-0.30294702087233816
41,212.10547053768806,974.8458150719207,34.30611857075459,-0.09351785990543604,0.1745,0.0,0.0,0.0,-0.6019741183925498
42,215.5173249448874,974.8563715039045,33.930969573232524,0.3046464995807143,0.1745,0.0,0.0,0.0,-0.8361397057817266
43,218.89556360763538,974.9023810653994,33.63380368172712,0.6155447303165864,0.1745,0.5,0.0,0.0,-1.022668343008188
44,222.24763655224226,974.976224098748,33.40765521041037,0.8613159366561041,0.1745,1.0,0.0,0.0,-1.1723312591975728
45,225.572999369239,975.0709352399753,33.099601129524636,1.032906887888253,0.1745,0.0,0.0,0.0,-1.2808608859172843
46,228.86826833377873,975.1803048935885,32.80577816126985,1.154486184376291,0.1745,0.0,0.0,0.0,-1.3606301302847987
47,232.13472092271306,975.2998179774809,32.52327361741672,1.2357754934700171,0.1745,0.0,0.0,0.0,-1.4168098697446503
48,235.37583755655166,975.4262642783908,32.29905905935521,1.2931505247280581,0.1745,0.5,0.0,0.0,-1.4577074477770506
49,238.6091095598249,975.511919443881,32.366381006109535,0.41995278507578315,0.0,1.0,0.0,0.0,-0.9170132738987633
50,241.83522608109018,975.5630913640019,32.15594941919601,0.6034856173433495,0.1745,1.0,0.0,0.0,-1.0329396180621604
51,245.04094423252423,975.6304138143937,31.95841360948489,0.742963390491379,0.1745,1.0,0.0,0.0,-1.1226234228649747
52,248.22496384891656,975.7094612195193,31.7219787183619,0.8379847120201254,0.1745,0.5,0.0,0.0,-1.1860824577651665
53,251.38824456601455,975.7968832068207,31.543635623597886,0.9104550340069156,0.1745,1.0,0.0,0.0,-1.2351104795943104
54,254.5290981168877,975.8895120963173,31.27343539386531,0.9421227559254353,0.1745,0.0,0.0,0.0,-1.260460325490004
55,257.64325096775553,975.9841444654654,31.00962162349109,0.9505246270375208,0.1745,0.0,0.0,0.0,-1.271128163525988
56,260.7312804769297,976.0786628888262,30.750968559992806,0.9398438401784132,0.1745,0.0,0.0,0.0,-1.269471956650814
57,263.7961154791601,976.1717618362027,30.545731484614418,0.9221351073502512,0.1745,0.5,0.0,0.0,-1.262121830824442
58,266.838108915657,976.2621056387406,30.2941372453243,0.8847409434083507,0.1745,0.0,0.0,0.0,-1.242594602131025
59,269.85754637316217,976.3485891400682,30.094611904778976,0.8449290831422857,0.1745,0.5,0.0,0.0,-1.2201532480794586
60,272.8546587902839,976.4302935509617,29.847636437656192,0.7891591347277657,0.1745,0.0,0.0,0.0,-1.187575762084314
61,275.8296320718014,976.5064528077911,29.651829192694255,0.7340260018605267,0.1745,0.5,0.0,0.0,-1.154020214450022
62,278.7875393056782,976.5772929624223,29.50631548484075,0.6827770907635847,0.1745,1.0,0.0,0.0,-1.1218563085528113
63,281.73091212514356,976.6429033045249,29.36114090446606,0.6294297512884914,0.1745,1.0,0.0,0.0,-1.0879324912667145
64,284.6573176456871,976.7026550228179,29.166969506404644,0.5656046145706781,0.1745,0.5,0.0,0.0,-1.0471438898338705
65,287.56187656713234,976.7554147805479,28.924208922500213,0.4895905400288082,0.1745,0.0,0.0,0.0,-0.9979546526952071
66,290.4471323927399,976.801193283481,28.780907589650138,0.4259795186340682,0.1745,1.0,0.0,0.0,-0.9555424141264579
67,293.31558482369604,976.8401609032226,28.58814102947277,0.35337287619755603,0.1745,0.5,0.0,0.0,-0.9068426458426265
68,296.1623113286306,976.8713194534153,28.346389069218233,0.26979812765562994,0.1745,0.0,0.0,0.0,-0.8500755147301008
69,298.98489476368,976.893922299599,28.105279631770173,0.18225879601992193,0.1745,0.0,0.0,0.0,-0.7894967340468427
70,301.7833904738325,976.9075997242207,27.86463457127962,0.09128969641382,0.1745,0.0,0.0,0.0,-0.7253963926954127
71,304.5602993559587,976.9124647070028,27.67354307124346,0.0060099592261436685,0.1745,0.5,0.0,0.0,-0.6642815516817182
72,307.32054591604424,976.9092030483947,27.531388130467683,-0.07124313138662014,0.1745,1.0,0.0,0.0,-0.6082433918068509
73,310.06161228297384,976.8974149055858,27.28993920812442,-0.16451972479102528,0.1745,0.0,0.0,0.0,-0.5394802826234535
74,312.78100765555394,976.8765868236417,27.09796824347786,-0.25204191409300714,0.1745,0.5,0.0,0.0,-0.4740797097938466
75,315.48364908572154,976.8474107760416,26.95486035987407,-0.33147903790925104,0.1745,1.0,0.0,0.0,-0.4141988193259308
76,318.1694734685061,976.8099268568228,26.76162729581774,-0.41819934646551493,0.1745,0.5,0.0,0.0,-0.3476610950332867
77,320.8334965947925,976.7632916567229,26.518835229910646,-0.5145046555316293,0.1745,0.0,0.0,0.0,-0.2722192077463178
78,323.4781716530278,976.7077499505372,26.37466593479574,-0.5963294681842531,0.1745,1.0,0.0,0.0,-0.20809995195598993
79,326.1083815482723,976.6440991858019,26.229531970093515,-0.6766858265216705,0.1745,1.0,0.0,0.0,-0.14437923680185552
80,328.72157172998095,976.5720369314929,26.034271664079807,-0.7645592596584259,0.1745,0.5,0.0,0.0,-0.07306736811204993
81,331.3152195245015,976.4911309320478,25.83868422633143,-0.853560729243876,0.1745,0.5,0.0,0.0,-0.00019408165853829207
82,333.8868281065745,976.400837492446,25.593487415128152,-0.9523080627901994,0.1745,0.0,0.0,0.0,-0.08359035135328263
83,336.4388454300115,976.3013844818491,25.44685905361156,-1.036752149147862,0.1745,1.0,0.0,0.0,-0.15415039714529663
84,338.97614824703896,976.1935550670182,25.299197286938142,-1.1198361474700491,0.1745,1.0,0.0,0.0,-0.2244765836291568
85,341.49617492308755,976.0770366831521,25.10133623403396,-1.2105315298521837,0.1745,0.5,0.0,0.0,-0.30357144011098913
86,343.99885749517034,975.9518207025338,24.952315207621826,-1.2937880825124877,0.1745,1.0,0.0,0.0,-0.3759119222514573
87,346.48412870904167,975.817889839327,24.75310906980479,-1.3848291816247642,0.1745,0.5,0.0,0.0,-0.45761450701113593
88,348.9519216890621,975.675218755004,24.60275053060373,-1.4685925048353203,0.1745,1.0,0.0,0.0,-0.5323369611413087
89,351.3997074570102,975.523341638147,24.35296482835831,-1.5689498323049742,0.1745,0.0,0.0,0.0,-0.626685762448808
90,353.82498166708643,975.3616821285481,24.15251937316629,-1.664240359674586,0.1745,0.5,0.0,0.0,-0.7159451828181407
91,356.22772138993435,975.1900024256597,23.90227508379219,-1.7693536980935514,0.1745,0.0,0.0,0.0,-0.8178678577324929
