t,x,y,vx,vy,theta,thr,wind_vx,wind_vy,r
0,110.22815045562487,716.9058153254925,41.56894005434456,0.14946328473651727,-0.0064098790233585445,0.5,0.0,0.0,0.0
1,114.35979963212453,716.967731299572,41.06404347564882,1.0888561968547772,0.16809012097664144,0.0,0.0,0.0,-1.0115221785649018
2,118.45933049303716,717.0764099957436,40.92657374260376,1.084717726576422,0.08084012097664145,0.25,0.0,0.0,-1.011420446301163
3,122.54890566935488,717.1846569305727,40.86492978375061,1.0802209700057583,0.08084012097664145,1.0,0.0,0.0,-1.0101590121990933
4,126.63406995312434,717.2553121327263,40.83835589163845,0.33288307306567533,-0.0064098790233585445,0.25,0.0,0.0,-0.6447379606848149
5,130.7164738986578,717.2589730764184,40.80972301903062,-0.25966419922292006,-0.0064098790233585445,0.25,0.0,0.0,-0.35453101704759854
6,134.7731090569794,717.2807856822852,40.32298014740143,0.6959163165576548,0.16809012097664144,0.25,0.0,0.0,-0.8270024382659218
7,138.80075665698303,717.3524085005297,40.22997185267121,0.7365400483307262,0.08084012097664145,0.75,0.0,0.0,-0.8481028504489746
8,142.82045214963597,717.4275337952386,40.16393800038754,0.765965845846454,0.08084012097664145,1.0,0.0,0.0,-0.8634679273053782
9,146.83361773014875,717.5051281703506,40.09937360986777,0.7859216563947059,0.08084012097664145,1.0,0.0,0.0,-0.8741484127864707
10,150.8354014658696,717.5839414725307,39.93630110454924,0.7903443872050372,0.08084012097664145,0.0,0.0,0.0,-0.8780802275933668
11,154.830290657517,717.6277619742166,39.96148272839868,0.08606564651297954,-0.0064098790233585445,0.75,0.0,0.0,-0.5254978238180806
12,158.82382104556945,717.6083613889114,39.909125032650486,-0.4740773526172175,-0.0064098790233585445,0.0,0.0,0.0,-0.2449080529641579
13,162.81322297433508,717.5385784197014,39.87891354266186,-0.9215820315820051,-0.0064098790233585445,0.25,0.0,0.0,-0.020385210533719125
14,166.7783452668761,717.496839797493,39.423532308158435,0.08680958741267064,0.16809012097664144,0.75,0.0,0.0,-0.5265687649399712
15,170.696516942375,717.5456597886136,38.93990120181997,0.8895902350009176,0.1745,0.0,0.0,0.0,-0.9394504989127905
16,174.58357479413166,717.6333076492101,38.80125583331313,0.8633669769275998,0.08725,0.25,0.0,0.0,-0.9276944746210056
17,178.45679085591124,717.7182188713292,38.66306540227818,0.8348574654537135,0.08725,0.25,0.0,0.0,-0.9146637140107547
18,182.31869736262422,717.8004056766654,38.57506473198141,0.8088786412690452,0.08725,0.75,0.0,0.0,-0.9023033414450982
19,186.17625653107172,717.8471432606534,38.5761186369686,0.12587303849107356,0.0,0.5,0.0,0.0,-0.5483392256656641
20,190.01452897262854,717.8963412039803,38.18933019416809,0.8580858280483519,0.1745,0.75,0.0,0.0,-0.9324848877284049
21,193.8129824620001,718.0095814316717,37.779739593263,1.4067187257782559,0.1745,0.0,0.0,0.0,-1.2276642320393223
22,197.58778401902973,718.1412209141524,37.71629154732948,1.226070923837004,0.08725,0.75,0.0,0.0,-1.1333889916804043
23,201.35601034332197,718.256345304765,37.64823493851552,1.0764168884130094,0.08725,0.75,0.0,0.0,-1.0552749847611864
24,205.12230609365687,718.3263833799595,37.67768006818247,0.32434461547742877,0.0,0.75,0.0,0.0,-0.6558743621892049
25,208.8865790230477,718.3598681184247,37.60777851963406,0.34535015382888423,0.08725,1.0,0.0,0.0,-0.6674481526190924
26,212.64019129623046,718.3947383153908,37.46446694402138,0.3520537854923753,0.08725,0.25,0.0,0.0,-0.6718136126028482
27,216.38922682144835,718.3990776160174,37.51624356033627,-0.2652677729592654,0.0,1.0,0.0,0.0,-0.3425305215599633
28,220.11917472792527,718.4076859776063,37.08271456920221,0.4374350047367681,0.1745,0.25,0.0,0.0,-0.719922644142795
29,223.81197398851563,718.4789356655136,36.77327064260486,0.9875587534084785,0.1745,1.0,0.0,0.0,-1.0210956122743071
30,227.48961735034652,718.5401587206017,36.779596594012844,0.2369023483514371,0.0,0.5,0.0,0.0,-0.6130399815431841
31,231.16186809266236,718.5630789829587,36.66541825230394,0.22150289878993312,0.08725,0.5,0.0,0.0,-0.6051168214782423
32,234.82606709262132,718.5547435043771,36.618561746875265,-0.3882124704200238,0.0,0.0,0.0,0.0,-0.2723261066804986
33,238.46942069930407,718.5486849961278,36.24851038677957,0.26704230543284113,0.1745,0.75,0.0,0.0,-0.6317410560795772
