t,x,y,vx,vy,theta
0,261.16604196935225,796.1076955932733,48.466289743662394,3.5856187340179635,0.0030165028151119405
1,265.99914443366407,796.3456563359305,48.19575954257427,1.1735961191258348,-0.17148349718488803
2,270.8115301061742,796.370778918737,48.05195390762798,-0.6711444629949621,-0.1745
3,275.6142338790368,796.2341839717737,48.00212154962428,-2.060754476268486,-0.1745
4,280.41514025590175,795.9757011821107,48.01600598767483,-3.108901316992173,-0.1745
5,285.21964622180354,795.6252926411406,48.074113330360554,-3.899269502409711,-0.1745
6,290.0315238171267,795.2055924076744,48.16343857610222,-4.494735166914992,-0.1745
7,294.85344927863724,794.7337082018823,48.27507065410854,-4.942948948926802,-0.1745
8,299.68734156603387,794.2225553111268,48.40277509382436,-5.280108866184281,-0.1745
9,304.5345862415502,793.6818651605353,48.54211841650259,-5.53369414564703,-0.1745
10,309.39618754982916,793.1189542961164,48.68990774907726,-5.724523142730762,-0.1745
11,314.27287400191875,792.5393116960531,48.843821292714246,-5.868328858534247,-0.1745
12,319.16517298288466,791.9470466904849,49.00215832660352,-5.976971252830175,-0.1745
13,324.07346421698264,791.3452296559816,49.16366635535663,-6.05936943723591,-0.1745
14,328.9980185046833,790.7361503708804,49.32741939865648,-6.122216264786949,-0.1745
15,333.9390260250152,790.1215133562142,49.492731007981725,-6.170524028535858,-0.1745
16,338.896617143545,789.5025851740235,49.65909136261385,-6.208039615279815,-0.1745
17,343.870877779728,788.8803052304065,49.826121361046845,-6.237559257059517,-0.1745
18,348.8618607920069,788.2553689456963,49.993538884530814,-6.261166437144675,-0.1745
19,353.8695944302625,787.6282900620912,50.16113388058145,-6.280411234957675,-0.1745
20,358.894088619063,786.9994472398062,50.32874989542857,-6.296445210743878,-0.1745
21,363.93533963152703,786.3691188471024,50.49627035385236,-6.310122643330057,-0.1745
22,368.9933335667737,785.7375088962357,50.66360835108082,-6.32207637400472,-0.1745
23,374.0680489369197,785.104766351007,50.83069905183952,-6.332774530569198,-0.1745
24,379.1594585909731,784.4709994802081,50.997494029228285,-6.342562885409166,-0.1745
25,384.2675311448802,783.836286513961,51.163957048914206,-6.3516964395318105,-0.1745
26,389.3922320438737,783.2006835449796,51.330060930956634,-6.360362940095978,-0.1745
27,394.5335243511853,782.5642303795731,51.49578521527475,-6.368700368033622,-0.1745
28,399.69136933326496,781.9269548649302,51.661114426318164,-6.376809924824765,-0.1745
29,404.8657268937958,781.288876085465,51.826036784298054,-6.384765664479711,-0.1745
30,410.0565558954604,780.6500067208232,51.99054324899431,-6.3926216283561335,-0.1745
31,415.2638143984622,780.0103547832231,52.154626811041865,-6.400417123646121,-0.1745
32,420.4874598373743,779.3699248958559,52.31828196719909,-6.408180623697145,-0.1745
33,425.7274491523468,778.7287192323479,52.48150433225211,-6.415932646463776,-0.1745
34,430.9837388865736,778.0867382062135,52.64429035228281,-6.423687876225491,-0.1745
35,436.2562852588402,777.4439809761217,52.80663709304898,-6.431456725611089,-0.1745
36,441.5450442176906,776.8004458156323,52.96854208395909,-6.439246484175785,-0.1745
37,446.84997148204593,776.1561303833266,53.13000320314761,-6.447062161938835,-0.1745
38,452.17102257184825,775.5110319198227,53.29101859289902,-6.454907108139873,-0.1745
39,457.508152831366,774.8651473911879,53.451586597454934,-6.462783464557593,-0.1745
40,462.86131744710417,774.2184735930992,53.611705717309306,-6.4706924972154205,-0.1745
41,468.2304714617514,773.5710072262985,53.77137457563507,-6.478634838798043,-0.1745
42,473.61556978521446,772.9227449510792,53.930591893625895,-6.486610665590643,-0.1745
43,479.01656720351485,772.2736834264766,54.0893564723818,-6.494619826460498,-0.1745
44,484.4334183861136,771.6238193383158,54.24766717959261,-6.502661936755351,-0.1745
45,489.86607789208,770.9731494191496,54.405522939734915,-6.510736446567721,-0.1745
46,495.31450017540874,770.3216704623067,54.56292272683933,-6.51884269029194,-0.1745
47,500.7786395897075,769.6693793316648,54.71986555913596,-6.526979922545431,-0.1745
48,506.25845039241784,769.0162729683294,54.87635049507095,-6.535147344162852,-0.1745
49,511.75388674868753,768.3623483950727,55.032376630323085,-6.543344120971852,-0.1745
50,517.2649027349811,767.7076027191578,55.187943095549095,-6.551569397326411,-0.1745
51,522.7914523424915,767.0520331339995,55.34304905465969,-6.559822305837503,-0.1745
52,528.3334894803986,766.3956369199902,55.49769370348187,-6.568101974348844,-0.1745
53,533.8909679790079,765.7384114447268,55.651876268702395,-6.576407530919238,-0.1745
54,539.4638415927938,765.0803541628126,55.80559600701578,-6.584738107364423,-0.1745
55,545.0520640033656,764.4214626153564,55.95885220442139,-6.593092841759284,-0.1745
56,550.655588822368,763.7617344292589,56.111644175629145,-6.601470880190782,-0.1745
57,556.2743695943267,763.1011673163508,56.2639712635446,-6.609871377971618,-0.1745
58,561.9083597994445,762.439759072429,56.415832838812236,-6.618293500466359,-0.1745
59,567.5575128563552,761.7775075762237,56.56722829940161,-6.62673642363955,-0.1745
