model_num,average_reward,num_tests,num_landed,num_crashed,num_went_around
5,-7430.92364139905,0,0,0,0
6,-7441.963071071992,0,0,0,0
8,-7370.183582654012,0,0,0,0
9,-7508.658258621028,0,0,0,0
10,-9418.244086241799,0,0,0,0
11,-9270.889902754558,0,0,0,0
13,-5640.969867130728,0,0,0,0
14,-5510.1373989430995,0,0,0,0
15,-7971.6623276538985,0,0,0,0
16,-7997.961571751122,0,0,0,0
18,-7537.628593742608,0,0,0,0
19,-10428.414551095324,0,0,0,0
20,-1857.4264154220302,0,0,0,0
24,-9429.19082010496,10000,587,9227,186
25,-5243.212288047992,10000,1465,5876,2659
26,-6575.508348038422,10000,259,5760,3981
27,-10610.67193625962,10000,94,9835,71
28,-10938.387549754443,10000,2,9993,5
29,-11525.568056255128,10000,322,9678,0
