state,action,value
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
6,1,21513.14141570785
6,2,22113.804994977738
6,3,21697.221264051168
6,4,20710.61764573252
6,5,21498.26781577662
6,6,21866.108473070704
6,7,20680.18479346215
6,8,19804.939809559353
6,9,21412.780081436053
6,10,22028.79747539013
6,11,19047.20077785866
6,12,19849.473762471465
7,1,19858.019985460065
7,2,12816.98960641441
7,3,21731.767189151615
7,4,21530.39428238063
7,5,21857.896550545956
7,6,21854.713705065435
7,7,19353.02161617611
7,8,21567.1156163211
7,9,18969.429870081116
7,10,20638.379223035514
7,11,19206.942702732194
7,12,19628.750263401904
8,1,19903.621686359773
8,2,23581.158936992404
8,3,20053.291694235664
8,4,24264.33243381657
8,5,20303.02203560171
8,6,0.0
8,7,24157.046846866728
8,8,0.0
8,9,20262.50386440942
8,10,24187.42755802542
8,11,0.0
8,12,0.0
9,1,19898.59350647748
9,2,0.0
9,3,0.0
9,4,0.0
9,5,20544.086880427905
9,6,0.0
9,7,0.0
9,8,12890.950171901597
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
10,1,21982.15504471415
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.0
11,9,0.0
11,10,0.0
11,11,0.0
11,12,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.0
12,9,0.0
12,10,0.0
12,11,0.0
12,12,0.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,0.0
13,8,0.0
13,9,0.0
13,10,0.0
13,11,0.0
13,12,0.0
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,0.0
14,8,0.0
14,9,0.0
14,10,0.0
14,11,0.0
14,12,0.0
15,1,0.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.0
15,9,0.0
15,10,0.0
15,11,0.0
15,12,0.0
16,1,22114.832689250707
16,2,27680.210717929356
16,3,20514.768472615207
16,4,21583.017461120584
16,5,20701.11847047928
16,6,21966.576034799375
16,7,22315.31119272489
16,8,22801.18202939566
16,9,24071.190415814024
16,10,20917.003015764105
16,11,21700.57518272176
16,12,21709.819525162773
17,1,19611.09408547261
17,2,19577.807425491716
17,3,19188.259961835647
17,4,19689.471086099053
17,5,19253.979076387994
17,6,24044.032910378497
17,7,19148.18181140181
17,8,19656.36908049082
17,9,19656.09017174822
17,10,19868.390558117633
17,11,19864.41601101978
17,12,20433.412144159767
18,1,20207.248991828856
18,2,20929.539148119955
18,3,25481.771972579983
18,4,25393.946951212896
18,5,23408.536200054372
18,6,0.0
18,7,23529.141177759713
18,8,22090.17753897673
18,9,22384.304822768932
18,10,24517.477036609198
18,11,25305.002215784993
18,12,22382.229801339272
19,1,19915.073434560396
19,2,0.0
19,3,20743.51872020849
19,4,0.0
19,5,0.0
19,6,0.0
19,7,0.0
19,8,0.0
19,9,0.0
19,10,0.0
19,11,0.0
19,12,0.0
20,1,21742.132060859516
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
20,7,0.0
20,8,0.0
20,9,0.0
20,10,19855.975369048185
20,11,0.0
20,12,0.0
21,1,0.0
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.0
21,7,0.0
21,8,0.0
21,9,0.0
21,10,0.0
21,11,0.0
21,12,0.0
22,1,0.0
22,2,0.0
22,3,0.0
22,4,0.0
22,5,0.0
22,6,0.0
22,7,0.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
22,12,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
23,12,0.0
24,1,0.0
24,2,0.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.0
24,7,0.0
24,8,0.0
24,9,0.0
24,10,0.0
24,11,0.0
24,12,0.0
25,1,0.0
25,2,0.0
25,3,0.0
25,4,0.0
25,5,0.0
25,6,0.0
25,7,0.0
25,8,0.0
25,9,0.0
25,10,0.0
25,11,0.0
25,12,0.0
26,1,20357.248472411935
26,2,20888.03415324869
26,3,20958.95930600813
26,4,25959.942635315696
26,5,21337.778518421477
26,6,21922.741019481822
26,7,20739.110513900476
26,8,22867.477978681633
26,9,23863.452722619695
26,10,13257.354480557638
26,11,21578.451134485007
26,12,20796.985940276172
27,1,10720.32895546114
27,2,21954.90407225666
27,3,21516.976481930684
27,4,21908.160973910595
27,5,10867.736243432333
27,6,19383.07618179121
27,7,20361.106481459825
27,8,19017.016994115096
27,9,22301.289274989744
27,10,19655.013592760948
27,11,20713.455835798828
27,12,21745.33289029645
28,1,20203.275361583525
28,2,18939.724277905472
28,3,18616.0167065419
28,4,23129.052463780754
28,5,21426.51835539975
28,6,24422.250239419565
28,7,19934.39821797472
28,8,22153.38425556361
28,9,22547.672115366055
28,10,0.0
28,11,23357.901692452226
28,12,20660.958960070984
29,1,20778.17508075545
29,2,0.0
29,3,0.0
29,4,0.0
29,5,19591.169031798865
29,6,0.0
29,7,0.0
29,8,0.0
29,9,0.0
29,10,0.0
29,11,0.0
29,12,0.0
30,1,23582.22831539942
30,2,0.0
30,3,0.0
30,4,0.0
30,5,0.0
30,6,0.0
30,7,0.0
30,8,0.0
30,9,0.0
30,10,0.0
30,11,0.0
30,12,0.0
31,1,0.0
31,2,0.0
31,3,0.0
31,4,0.0
31,5,0.0
31,6,0.0
31,7,0.0
31,8,0.0
31,9,0.0
31,10,0.0
31,11,0.0
31,12,0.0
32,1,0.0
32,2,0.0
32,3,0.0
32,4,0.0
32,5,0.0
32,6,0.0
32,7,0.0
32,8,0.0
32,9,0.0
32,10,0.0
32,11,0.0
32,12,0.0
33,1,0.0
33,2,0.0
33,3,0.0
33,4,0.0
33,5,0.0
33,6,0.0
33,7,0.0
33,8,0.0
33,9,0.0
33,10,0.0
33,11,0.0
33,12,0.0
34,1,0.0
34,2,0.0
34,3,0.0
34,4,0.0
34,5,0.0
34,6,0.0
34,7,0.0
34,8,0.0
34,9,0.0
34,10,0.0
34,11,0.0
34,12,0.0
35,1,0.0
35,2,0.0
35,3,0.0
35,4,0.0
35,5,0.0
35,6,0.0
35,7,0.0
35,8,0.0
35,9,0.0
35,10,0.0
35,11,0.0
35,12,0.0
36,1,20250.03380187864
36,2,24604.159417128587
36,3,21786.761347273114
36,4,21768.61766162306
36,5,24313.42724102665
36,6,20143.400901978897
36,7,19748.27390922479
36,8,19910.935630846532
36,9,19858.253512208754
36,10,22141.75644010099
36,11,19671.569116957777
36,12,20062.909908092122
37,1,21887.112485236186
37,2,21789.261496803396
37,3,19879.622692628105
37,4,20082.78534187508
37,5,19929.68807938268
37,6,19882.066326729495
37,7,21771.239849409125
37,8,19824.011805514117
37,9,19714.473703531163
37,10,20145.559821715044
37,11,21786.478264645284
37,12,21783.817160766772
38,1,19863.35648042665
38,2,20558.02123232731
38,3,19910.479960820936
38,4,21845.34576771682
38,5,19553.21970355905
38,6,21209.980957036467
38,7,20080.91011622732
38,8,20074.92266214484
38,9,20817.011416714988
38,10,22049.02839120005
38,11,20185.085749577684
38,12,22041.8573003636
39,1,19932.842274065457
39,2,21990.761335167073
39,3,20144.585116928847
39,4,21979.400761304838
39,5,22059.608926697696
39,6,24515.002415663585
39,7,22689.623211497255
39,8,20002.317396950843
39,9,21723.233311198423
39,10,21050.782954317743
39,11,22098.635871330287
39,12,21153.980057834215
40,1,22060.34489190748
40,2,20910.745276155565
40,3,19828.773715095744
40,4,19396.64778868478
40,5,20105.216981650876
40,6,20741.793350943204
40,7,19879.07660550621
40,8,20991.767316909292
40,9,20872.36011966157
40,10,22095.790652106232
40,11,19256.14095222261
40,12,20997.906989246883
41,1,0.0
41,2,0.0
41,3,0.0
41,4,0.0
41,5,0.0
41,6,0.0
41,7,0.0
41,8,0.0
41,9,0.0
41,10,0.0
41,11,0.0
41,12,0.0
42,1,0.0
42,2,0.0
42,3,0.0
42,4,0.0
42,5,0.0
42,6,0.0
42,7,0.0
42,8,0.0
42,9,0.0
42,10,0.0
42,11,0.0
42,12,0.0
43,1,0.0
43,2,0.0
43,3,0.0
43,4,0.0
43,5,0.0
43,6,0.0
43,7,0.0
43,8,0.0
43,9,0.0
43,10,0.0
43,11,0.0
43,12,0.0
44,1,0.0
44,2,0.0
44,3,0.0
44,4,0.0
44,5,0.0
44,6,0.0
44,7,0.0
44,8,0.0
44,9,0.0
44,10,0.0
44,11,0.0
44,12,0.0
45,1,0.0
45,2,0.0
45,3,0.0
45,4,0.0
45,5,0.0
45,6,0.0
45,7,0.0
45,8,0.0
45,9,0.0
45,10,0.0
45,11,0.0
45,12,0.0
46,1,17437.296242194963
46,2,16994.291711826616
46,3,16611.05322302198
46,4,17482.597131594634
46,5,17966.891771261824
46,6,19740.461957948
46,7,16457.54739194712
46,8,16079.927696585826
46,9,16384.034336384775
46,10,15758.195307118283
46,11,16009.557831339114
46,12,17804.27473870969
47,1,16749.71814473515
47,2,19904.516145971396
47,3,16772.487621812077
47,4,16707.579321085264
47,5,15888.521705872
47,6,16129.695728031538
47,7,14946.506776709683
47,8,14868.16670647181
47,9,15107.22895536874
47,10,18135.23019981283
47,11,15959.835053329656
47,12,15543.765961559797
48,1,17110.39892558262
48,2,18079.77558668465
48,3,0.0
48,4,15980.860816652175
48,5,16622.085267605802
48,6,18563.251384282208
48,7,15824.184501673917
48,8,19410.028386346537
48,9,21079.11950766407
48,10,17942.375770069702
48,11,19147.67529102873
48,12,17084.451514467502
49,1,17829.578236075966
49,2,0.0
49,3,0.0
49,4,0.0
49,5,0.0
49,6,0.0
49,7,0.0
49,8,0.0
49,9,0.0
49,10,0.0
49,11,15315.988356938871
49,12,0.0
50,1,16192.925057971224
50,2,0.0
50,3,0.0
50,4,0.0
50,5,0.0
50,6,0.0
50,7,0.0
50,8,0.0
50,9,0.0
50,10,0.0
50,11,0.0
50,12,0.0
51,1,0.0
51,2,0.0
51,3,0.0
51,4,0.0
51,5,0.0
51,6,0.0
51,7,0.0
51,8,0.0
51,9,0.0
51,10,0.0
51,11,0.0
51,12,0.0
52,1,0.0
52,2,0.0
52,3,0.0
52,4,0.0
52,5,0.0
52,6,0.0
52,7,0.0
52,8,0.0
52,9,0.0
52,10,0.0
52,11,0.0
52,12,0.0
53,1,0.0
53,2,0.0
53,3,0.0
53,4,0.0
53,5,0.0
53,6,0.0
53,7,0.0
53,8,0.0
53,9,0.0
53,10,0.0
53,11,0.0
53,12,0.0
54,1,0.0
54,2,0.0
54,3,0.0
54,4,0.0
54,5,0.0
54,6,0.0
54,7,0.0
54,8,0.0
54,9,0.0
54,10,0.0
54,11,0.0
54,12,0.0
55,1,0.0
55,2,0.0
55,3,0.0
55,4,0.0
55,5,0.0
55,6,0.0
55,7,0.0
55,8,0.0
55,9,0.0
55,10,0.0
55,11,0.0
55,12,0.0
56,1,16492.232570689706
56,2,16641.285349893573
56,3,20650.046057239422
56,4,16796.524468979573
56,5,19494.050376141928
56,6,16868.23767371748
56,7,17172.09417904983
56,8,18529.017778377638
56,9,15993.367150838962
56,10,15674.376567916637
56,11,19060.602889239242
56,12,16593.925746242763
57,1,18149.548123677163
57,2,18165.0487058654
57,3,16051.71414737338
57,4,18134.350841060826
57,5,16311.367356880968
57,6,19917.544652017998
57,7,19733.38371269838
57,8,15991.312447581662
57,9,16572.084478761044
57,10,16865.25757549634
57,11,18665.61887335417
57,12,16146.711773107614
58,1,16862.291037727573
58,2,18231.44085381343
58,3,18373.77435008262
58,4,15921.3535109004
58,5,13785.152967776565
58,6,17092.291065374073
58,7,17356.233675071107
58,8,16299.849532478866
58,9,18269.3198157518
58,10,16116.688789334801
58,11,17772.123480146354
58,12,17321.95817249462
59,1,17897.865169417437
59,2,0.0
59,3,0.0
59,4,0.0
59,5,0.0
59,6,0.0
59,7,15496.459371069608
59,8,0.0
59,9,0.0
59,10,0.0
59,11,0.0
59,12,0.0
60,1,19494.604408266045
60,2,0.0
60,3,0.0
60,4,0.0
60,5,0.0
60,6,0.0
60,7,0.0
60,8,0.0
60,9,0.0
60,10,0.0
60,11,0.0
60,12,0.0
61,1,0.0
61,2,0.0
61,3,0.0
61,4,0.0
61,5,0.0
61,6,0.0
61,7,0.0
61,8,0.0
61,9,0.0
61,10,0.0
61,11,0.0
61,12,0.0
62,1,0.0
62,2,0.0
62,3,0.0
62,4,0.0
62,5,0.0
62,6,0.0
62,7,0.0
62,8,0.0
62,9,0.0
62,10,0.0
62,11,0.0
62,12,0.0
63,1,0.0
63,2,0.0
63,3,0.0
63,4,0.0
63,5,0.0
63,6,0.0
63,7,0.0
63,8,0.0
63,9,0.0
63,10,0.0
63,11,0.0
63,12,0.0
64,1,0.0
64,2,0.0
64,3,0.0
64,4,0.0
64,5,0.0
64,6,0.0
64,7,0.0
64,8,0.0
64,9,0.0
64,10,0.0
64,11,0.0
64,12,0.0
65,1,0.0
65,2,0.0
65,3,0.0
65,4,0.0
65,5,0.0
65,6,0.0
65,7,0.0
65,8,0.0
