run_number,iterations,state_space_size,action_space_size,discount_factor,epsilon
1,100000,512,12,0.9,0.1
2,100000,512,12,0.9,0.1
3,100000,512,12,0.9,0.1
4,1000,512,12,0.9,0.1
5,10000,512,12,0.9,0.1
6,10000,512,12,0.9,0.1
8,100,512,12,0.9,0.1
9,1000,512,12,0.9,0.1
10,100000,512,12,0.9,0.1
11,100000000,512,12,0.9,0.1
12,100000000,400,12,0.9,0.1
13,100000,400,12,0.9,0.1
14,1000000,400,12,0.9,0.1
15,5000000,400,12,0.9,0.1
16,5000000,50,12,0.9,0.1
17,5000000,50,12,0.9,0.1
18,5000000,50,12,0.9,0.1
19,2,50,12,0.9,0.1
20,1000000,200,12,0.9,0.1
21,5000000,100,20,0.9,0.1
22,5000000,100,20,0.9,0.1
23,5000000,100,20,0.9,0.1
24,5000000,100,20,0.9,0.1
25,1000000,100,20,0.9,0.1
26,1000000,100,12,0.9,0.1
27,1000000,200,12,0.9,0.1
28,1000000,200,12,0.9,0.1
29,1000000,200,12,0.9,0.1
